Customer_Name,Age,Annual_Income,Credit_Score,Employment_Status,Debt_to_Income_Ratio,Loan_Amount,Loan_Term_Months,Past_Loans,Defaults,Marital_Status,Education_Level,Risk_Flag
Sakshi Verma,43,600394,654,Salaried,0.34,225342,24,2,1,Single,Graduate,0
Aditya Joshi,41,560346,850,Government,0.45,141661,72,4,0,Single,Postgraduate,0
Ajay Yadav,31,276860,595,Salaried,0.12,31521,24,0,2,Single,Graduate,1
Tanvi More,38,482245,571,Government,0.33,110871,60,4,2,Married,Graduate,1
Varun Shinde,26,444828,678,Salaried,0.34,117459,12,7,0,Married,Graduate,0
Pooja Patel,22,359488,656,Salaried,0.39,170051,72,5,1,Single,Undergraduate,0
Manoj More,29,1068237,742,Salaried,0.33,356069,36,6,0,Single,Graduate,0
Tanvi Choudhary,30,315994,616,Business,0.33,39552,24,4,1,Single,Undergraduate,1
Swati Deshmukh,30,399131,740,Self-employed,0.5,189864,48,4,0,Married,Graduate,1
Riya Sharma,47,379904,583,Government,0.39,106436,48,0,1,Married,Graduate,1
Ankit Thakur,24,381518,697,Business,0.22,167478,12,6,1,Single,Postgraduate,0
Sunil Chatterjee,31,637944,551,Government,0.5,79190,36,5,3,Single,Postgraduate,1
Nisha Mehta,23,352863,574,Salaried,0.26,108242,60,1,3,Married,Undergraduate,1
Harsh Patil,62,235905,612,Salaried,0.37,65498,24,0,3,Single,Undergraduate,1
Deepak Verma,34,335345,646,Self-employed,0.26,105702,60,4,2,Single,Undergraduate,1
Vivek Nair,21,318123,775,Salaried,0.12,117904,48,1,0,Single,Graduate,0
Vikram Tripathi,33,379230,694,Salaried,0.14,60853,60,2,1,Single,Undergraduate,0
Pooja Sawant,36,375843,621,Business,0.52,75463,72,4,1,Single,Graduate,1
Karan Bhosale,35,675513,727,Salaried,0.54,326295,48,3,0,Single,Undergraduate,1
Riya Shinde,21,263906,681,Unemployed,0.3,116378,12,4,1,Single,Postgraduate,1
Komal Saxena,37,598390,785,Business,0.18,111894,60,7,0,Married,Undergraduate,0
Priya Dubey,21,834099,552,Salaried,0.15,221536,72,6,2,Single,Undergraduate,1
Anjali Jadhav,38,397641,751,Self-employed,0.3,157783,48,2,0,Single,Graduate,0
Meena Joshi,57,469965,742,Salaried,0.51,123969,24,2,0,Single,Undergraduate,1
Sakshi Mehta,30,421975,601,Self-employed,0.25,58396,72,1,2,Married,Postgraduate,1
Neha Reddy,31,516157,668,Salaried,0.57,226416,48,4,0,Married,Undergraduate,1
Manoj Malhotra,36,435824,658,Business,0.31,187304,36,0,1,Married,Undergraduate,0
Rohit Tripathi,39,276838,688,Self-employed,0.51,55735,36,1,0,Married,Postgraduate,1
Mahesh Mishra,24,550813,741,Self-employed,0.13,99751,60,5,0,Married,Graduate,0
Shruti Sharma,26,457638,616,Salaried,0.49,150880,24,5,3,Married,Postgraduate,1
Divya Choudhary,65,693438,517,Business,0.26,244601,12,3,3,Married,Undergraduate,1
Harsh Kadam,37,288566,786,Government,0.21,53487,36,4,0,Single,Postgraduate,0
Sakshi Pawar,24,338644,491,Salaried,0.34,38424,48,5,3,Single,Graduate,1
Pooja Dubey,37,371159,551,Salaried,0.22,64649,24,7,1,Single,Graduate,1
Nitin Iyer,41,313122,680,Salaried,0.45,41031,12,5,1,Single,Postgraduate,0
Pooja Verma,48,572117,750,Business,0.56,68112,24,4,0,Single,Graduate,1
Divya Choudhary,39,734136,590,Salaried,0.13,344828,24,1,2,Married,Graduate,1
Suresh More,21,738065,697,Salaried,0.31,310024,12,1,0,Single,Graduate,0
Nisha Dubey,33,320551,623,Salaried,0.37,108276,12,5,1,Single,Postgraduate,1
Vivek Kadam,52,362136,674,Self-employed,0.17,110415,72,0,1,Single,Postgraduate,0
Divya Tripathi,39,328130,735,Salaried,0.29,52475,36,7,0,Single,Postgraduate,0
Manoj Jadhav,32,377306,763,Salaried,0.29,149594,72,2,0,Single,Undergraduate,0
Riya Gupta,33,431271,756,Self-employed,0.5,48047,60,4,0,Single,Postgraduate,1
Priya Sawant,35,585515,714,Business,0.49,93459,36,2,0,Single,Postgraduate,1
Riya Kadam,30,982932,604,Self-employed,0.17,423352,60,2,3,Married,Postgraduate,1
Manoj Pandey,23,200000,611,Government,0.46,77225,24,3,1,Single,Postgraduate,1
Suresh Iyer,30,840844,638,Salaried,0.43,402089,24,7,1,Single,Postgraduate,1
Ankita Gupta,27,453015,668,Salaried,0.57,110289,12,3,1,Married,Undergraduate,1
Rajesh Chavan,24,587265,658,Self-employed,0.45,197208,48,4,0,Single,Undergraduate,0
Nitin Kulkarni,32,546536,660,Salaried,0.21,116654,60,0,0,Single,Postgraduate,0
Divya Choudhary,38,401322,637,Salaried,0.4,131144,72,5,3,Single,Undergraduate,1
Karan Malhotra,29,536728,752,Government,0.58,89275,60,6,0,Single,Undergraduate,1
Ankit Chavan,44,440087,589,Salaried,0.44,184291,72,5,3,Married,Postgraduate,1
Preeti Patel,32,285054,643,Business,0.3,53654,60,6,3,Married,Graduate,1
Komal Dubey,41,784123,599,Salaried,0.58,163213,72,2,2,Single,Graduate,1
Ajay Yadav,33,818102,732,Business,0.59,398960,72,5,0,Single,Postgraduate,1
Suresh Kapoor,38,442151,500,Salaried,0.55,127745,12,6,2,Married,Undergraduate,1
Kavita Pawar,24,228781,798,Self-employed,0.37,110324,36,5,0,Married,Postgraduate,0
Ankit Malhotra,31,538139,685,Self-employed,0.17,192193,36,7,0,Single,Graduate,0
Rohit Mane,45,425291,650,Business,0.49,137015,12,3,1,Married,Undergraduate,1
Rahul Pandey,27,232663,681,Unemployed,0.44,114122,72,3,1,Married,Postgraduate,1
Ankit Pandey,44,564692,635,Business,0.47,109011,12,3,3,Single,Undergraduate,1
Vivek Pawar,25,657031,733,Government,0.54,85418,60,2,0,Single,Graduate,1
Pooja Mishra,25,486643,598,Salaried,0.45,49021,60,6,2,Single,Undergraduate,1
Arjun Kapoor,39,744328,799,Salaried,0.18,273561,72,1,0,Married,Undergraduate,0
Anjali Joshi,52,200000,708,Business,0.43,63956,48,1,1,Single,Postgraduate,0
Ankita More,34,335849,693,Government,0.53,156010,72,2,0,Single,Postgraduate,1
Nisha Joshi,21,327848,748,Self-employed,0.1,144940,60,6,0,Married,Postgraduate,0
Vivek Chavan,21,521493,613,Government,0.22,84819,48,7,1,Married,Postgraduate,1
Aditya Sharma,47,262789,715,Salaried,0.34,45687,24,2,1,Married,Graduate,0
Preeti Bhosale,24,333239,742,Business,0.3,101725,24,4,0,Single,Undergraduate,0
Amit Shinde,23,464369,751,Self-employed,0.45,188021,72,4,0,Single,Postgraduate,0
Varun Iyer,39,389406,635,Salaried,0.19,108832,72,1,3,Single,Postgraduate,1
Sunil Pawar,43,654692,850,Salaried,0.11,112766,24,0,0,Single,Graduate,0
Mahesh Sharma,37,442181,695,Salaried,0.28,58071,12,4,0,Married,Postgraduate,0
Isha Sawant,30,929275,722,Government,0.22,375999,24,0,0,Married,Postgraduate,0
Tanvi Jadhav,41,351360,709,Self-employed,0.47,105018,72,2,0,Single,Postgraduate,1
Divya Sharma,21,470507,711,Self-employed,0.51,137470,12,7,0,Married,Graduate,1
Vikram Dubey,38,876287,774,Salaried,0.32,419892,48,3,0,Single,Undergraduate,0
Suresh Nair,34,211414,580,Salaried,0.48,51424,12,3,2,Married,Graduate,1
Isha Sharma,63,551806,531,Self-employed,0.18,67223,60,5,1,Married,Undergraduate,1
Sakshi Kadam,46,383401,721,Business,0.14,133964,24,2,0,Married,Graduate,0
Ankit More,29,930400,736,Government,0.21,432068,24,7,0,Single,Undergraduate,0
Vikram Mishra,26,340287,544,Self-employed,0.5,159602,24,4,2,Single,Undergraduate,1
Tanvi Sawant,57,200000,767,Business,0.52,44922,12,3,0,Single,Undergraduate,1
Kavita Thakur,35,723306,554,Self-employed,0.35,277995,36,5,2,Married,Undergraduate,1
Sunil Pawar,30,200000,544,Business,0.35,35906,72,7,1,Married,Undergraduate,1
Sanjay Pandey,44,767821,656,Salaried,0.31,213090,36,6,1,Single,Undergraduate,0
Isha Kulkarni,28,684201,629,Salaried,0.51,338878,72,7,2,Single,Undergraduate,1
Karan Kadam,37,343333,701,Business,0.11,167483,60,4,1,Single,Graduate,0
Varun Pawar,30,421625,617,Business,0.55,141647,36,2,2,Single,Postgraduate,1
Harsh Saxena,51,307950,670,Government,0.47,43004,60,3,0,Married,Postgraduate,1
Deepak Yadav,28,306405,675,Unemployed,0.16,141569,60,0,1,Married,Graduate,1
Meena Mishra,43,382808,601,Salaried,0.39,93763,24,6,1,Single,Postgraduate,1
Sanjay Patel,27,335318,762,Salaried,0.25,68181,24,7,0,Married,Undergraduate,0
Rahul Bhosale,33,385079,640,Self-employed,0.6,100442,24,3,1,Single,Graduate,1
Neha Joshi,54,591926,641,Salaried,0.36,267821,36,6,3,Single,Graduate,1
Rahul Singh,27,318754,680,Self-employed,0.33,112057,72,2,0,Married,Postgraduate,0
Meena Pandey,33,402425,687,Government,0.28,109061,24,0,1,Single,Graduate,0
Shruti Chavan,34,676719,597,Salaried,0.34,233273,72,0,1,Single,Graduate,1
Swati Yadav,32,551219,765,Salaried,0.37,129499,60,3,0,Married,Postgraduate,0
Harsh Reddy,41,536031,622,Salaried,0.36,114053,36,6,1,Married,Undergraduate,1
Ankit Joshi,23,587467,668,Unemployed,0.17,86609,48,2,0,Married,Postgraduate,1
Ankita Bhosale,21,317282,850,Self-employed,0.12,148736,72,3,0,Single,Undergraduate,0
Neha Nair,29,412077,593,Salaried,0.48,75225,48,2,3,Single,Undergraduate,1
Swati Dubey,58,545582,586,Salaried,0.52,221603,48,6,2,Married,Undergraduate,1
Isha Kapoor,25,309419,693,Self-employed,0.31,55580,48,1,1,Married,Graduate,0
Sunil Bhosale,34,958038,606,Government,0.49,418913,24,1,3,Single,Undergraduate,1
Meena Patil,39,713821,815,Government,0.52,171500,60,0,0,Married,Undergraduate,1
Amit Kadam,25,610928,734,Salaried,0.55,238272,24,1,0,Married,Graduate,1
Rajesh Mehta,38,227387,610,Salaried,0.57,99795,72,7,2,Married,Undergraduate,1
Manoj Chatterjee,21,748392,697,Salaried,0.49,360197,36,7,1,Married,Graduate,1
Pooja Joshi,36,622405,717,Unemployed,0.51,293553,60,1,0,Single,Undergraduate,1
Priya Patil,21,300939,769,Self-employed,0.33,136651,24,1,0,Married,Graduate,0
Asha More,21,386191,782,Self-employed,0.42,76177,48,1,0,Single,Undergraduate,0
Swati Patil,30,666289,834,Salaried,0.15,81835,12,0,0,Single,Undergraduate,0
Sanjay Menon,34,826188,693,Business,0.59,300709,48,1,1,Single,Undergraduate,1
Pooja Singh,46,455910,807,Government,0.5,197584,24,1,0,Married,Graduate,1
Aditya Dubey,26,485319,831,Self-employed,0.49,57894,36,1,0,Married,Graduate,1
Swati Thakur,49,466386,598,Salaried,0.15,106637,72,5,2,Married,Postgraduate,1
Priya Tripathi,34,277450,728,Business,0.47,43198,60,6,0,Married,Undergraduate,1
Karan Sharma,36,644306,591,Self-employed,0.55,258996,72,2,1,Married,Graduate,1
Isha Singh,25,468514,759,Salaried,0.15,97385,60,3,0,Single,Postgraduate,0
Nitin Shinde,35,637277,583,Self-employed,0.15,306800,36,4,3,Single,Graduate,1
Tanvi Kapoor,39,642265,605,Unemployed,0.58,206528,48,7,3,Single,Undergraduate,1
Ankit Shinde,28,523574,850,Business,0.48,227197,36,0,0,Single,Postgraduate,1
Preeti Reddy,32,231639,677,Salaried,0.56,24235,72,0,1,Married,Graduate,1
Ankit Bhosale,29,326819,716,Salaried,0.14,115142,12,1,1,Married,Undergraduate,0
Kavita Shinde,51,482199,648,Self-employed,0.19,213070,60,5,2,Married,Postgraduate,1
Ankita Nair,32,393746,623,Unemployed,0.51,171099,72,2,3,Married,Postgraduate,1
Sakshi Deshmukh,45,444115,682,Salaried,0.13,150549,24,4,1,Married,Graduate,0
Rahul Kapoor,44,334220,638,Government,0.38,47389,36,2,2,Married,Undergraduate,1
Asha Shinde,37,207740,600,Salaried,0.46,27662,36,6,3,Married,Undergraduate,1
Karan Mishra,41,262012,677,Self-employed,0.38,47252,24,2,1,Single,Postgraduate,0
Ajay Shinde,44,657849,703,Business,0.35,290565,72,6,0,Single,Graduate,0
Sneha Shinde,42,397520,574,Salaried,0.6,53819,72,3,3,Single,Postgraduate,1
Priya Joshi,21,922626,568,Salaried,0.48,127586,48,5,2,Single,Graduate,1
Aditya Saxena,43,554205,730,Business,0.6,198180,48,4,0,Single,Graduate,1
Sakshi Kapoor,58,200000,776,Self-employed,0.26,90726,60,2,0,Married,Undergraduate,0
Vivek Patel,34,200000,701,Salaried,0.42,32977,72,3,1,Married,Postgraduate,0
Ankita Pandey,30,433797,521,Self-employed,0.38,87934,12,6,3,Married,Undergraduate,1
Radhika Verma,21,656647,696,Government,0.22,243605,72,3,1,Married,Undergraduate,0
Rajesh More,36,278164,739,Government,0.15,122897,12,0,0,Married,Graduate,0
Suresh Chavan,50,1282807,673,Salaried,0.22,272368,36,5,1,Married,Graduate,0
Sneha Kulkarni,31,448114,766,Government,0.14,178800,12,1,0,Married,Postgraduate,0
Riya Dubey,50,209829,733,Salaried,0.54,95706,36,0,0,Married,Postgraduate,1
Anjali Deshmukh,26,751656,654,Government,0.13,289196,60,3,0,Single,Postgraduate,0
Vivek Joshi,38,573941,600,Government,0.24,117225,36,4,1,Married,Undergraduate,1
Harsh Reddy,49,463691,527,Business,0.54,56586,36,4,1,Single,Postgraduate,1
Arjun Mane,34,312035,744,Salaried,0.2,140378,12,2,0,Married,Graduate,0
Asha Sharma,40,373076,560,Business,0.24,93329,72,5,3,Married,Graduate,1
Manoj Menon,27,249610,496,Salaried,0.49,50180,48,3,2,Married,Graduate,1
Amit Reddy,23,686126,757,Self-employed,0.35,248352,12,1,0,Single,Postgraduate,0
Kavita Mishra,21,200000,657,Self-employed,0.32,72979,60,0,1,Single,Postgraduate,0
Rohit Mane,34,395618,616,Salaried,0.57,151455,36,4,1,Married,Graduate,1
Preeti Pawar,21,547781,587,Self-employed,0.43,160745,60,1,3,Married,Undergraduate,1
Meena Dubey,49,397038,658,Salaried,0.5,197463,12,1,0,Single,Graduate,1
Suresh Deshmukh,45,551745,699,Business,0.27,57647,36,6,1,Single,Postgraduate,0
Radhika Nair,49,431517,647,Salaried,0.37,136344,12,7,1,Married,Undergraduate,1
Shruti Patel,47,468799,598,Business,0.16,111778,60,5,1,Single,Postgraduate,1
Kavita Menon,42,537663,535,Business,0.6,58327,48,5,3,Married,Postgraduate,1
Sakshi Kapoor,50,1037244,583,Self-employed,0.33,255762,12,5,1,Single,Undergraduate,1
Sakshi Choudhary,48,388807,755,Business,0.45,68637,12,1,0,Single,Postgraduate,0
Nisha Menon,21,611594,755,Salaried,0.35,136038,12,5,0,Single,Undergraduate,0
Pooja Mehta,21,400835,662,Salaried,0.36,79376,72,4,1,Married,Postgraduate,0
Sneha Singh,38,331068,715,Business,0.59,75662,36,6,1,Single,Postgraduate,1
Deepak Gupta,46,906094,682,Salaried,0.3,169484,12,1,1,Single,Undergraduate,0
Anjali Thakur,43,367310,703,Salaried,0.3,96854,24,1,1,Single,Undergraduate,0
Ankita Kadam,42,343686,729,Government,0.52,60925,48,3,0,Single,Undergraduate,1
Suresh Mane,28,401113,670,Salaried,0.52,182088,48,1,1,Single,Undergraduate,1
Radhika Menon,23,271780,648,Salaried,0.46,123716,36,7,1,Married,Postgraduate,1
Varun Nair,30,963348,728,Self-employed,0.17,294119,36,2,0,Married,Undergraduate,0
Rahul Saxena,21,393419,628,Salaried,0.22,79578,72,5,1,Single,Graduate,1
Ajay Sawant,40,320372,712,Business,0.15,140042,48,7,1,Married,Postgraduate,0
Ajay Bhosale,24,593849,850,Unemployed,0.57,99629,60,6,0,Married,Undergraduate,1
Aditya Kulkarni,30,674132,518,Business,0.13,226049,36,3,1,Single,Undergraduate,1
Divya Chavan,21,273237,622,Salaried,0.1,62745,72,6,3,Married,Graduate,1
Aditya Reddy,24,439796,730,Salaried,0.36,182625,24,0,0,Married,Postgraduate,0
Komal Singh,31,308916,559,Salaried,0.47,75071,60,5,3,Married,Undergraduate,1
Neha Patil,35,809459,717,Self-employed,0.16,167985,72,4,0,Single,Undergraduate,0
Divya Sawant,35,588419,524,Salaried,0.12,86223,12,1,2,Married,Postgraduate,1
Preeti Malhotra,30,352083,740,Salaried,0.14,63963,72,1,0,Single,Postgraduate,0
Nitin Malhotra,30,717384,729,Unemployed,0.31,72739,12,1,0,Single,Undergraduate,1
Kavita Mishra,34,623655,700,Business,0.24,129547,60,4,0,Married,Graduate,0
Radhika Chavan,39,524896,746,Salaried,0.25,166877,12,6,0,Married,Postgraduate,0
Komal Sawant,26,242132,677,Government,0.38,49708,36,1,0,Single,Graduate,0
Rajesh Gupta,44,518991,739,Salaried,0.52,64024,72,2,0,Single,Graduate,1
Nitin Yadav,47,330774,699,Salaried,0.5,162447,72,6,1,Single,Graduate,1
Suresh More,36,303961,693,Business,0.12,124629,60,7,1,Single,Postgraduate,0
Manoj More,35,508011,696,Business,0.53,183467,24,4,0,Single,Graduate,1
Anjali Dubey,35,755766,794,Salaried,0.2,108993,48,4,0,Single,Postgraduate,0
Riya Dubey,21,394724,779,Salaried,0.48,131241,48,6,0,Single,Postgraduate,1
Amit Kadam,29,794647,695,Self-employed,0.27,81643,12,1,1,Single,Postgraduate,0
Rajesh Sharma,39,307579,669,Unemployed,0.26,68865,12,4,1,Single,Postgraduate,1
Pooja Singh,59,588422,611,Business,0.55,271001,24,6,3,Married,Postgraduate,1
Riya Reddy,21,200000,643,Business,0.36,42889,12,1,1,Single,Undergraduate,1
Nisha Dubey,28,841145,634,Government,0.24,227038,36,2,2,Single,Graduate,1
Manoj Gupta,37,331370,686,Salaried,0.5,40363,72,0,1,Single,Undergraduate,1
Riya Verma,34,210906,688,Government,0.35,55700,36,3,0,Married,Graduate,0
Nitin Shinde,27,493400,701,Unemployed,0.42,162275,24,7,1,Single,Graduate,1
Preeti Tripathi,44,232749,809,Government,0.54,50824,24,1,0,Married,Graduate,1
Karan Chavan,47,330163,756,Salaried,0.27,42656,36,6,0,Single,Postgraduate,0
Ankit Mishra,58,394365,460,Unemployed,0.25,184501,60,2,1,Single,Undergraduate,1
Deepak Malhotra,36,225606,789,Business,0.48,48906,72,5,0,Single,Graduate,1
Vikram Deshmukh,31,359605,730,Salaried,0.49,36225,24,6,0,Married,Graduate,1
Rajesh Mane,31,649745,630,Unemployed,0.31,127191,24,0,2,Married,Postgraduate,1
Swati Chatterjee,33,847341,799,Business,0.49,378444,36,2,0,Single,Postgraduate,1
Nitin Choudhary,33,417026,645,Salaried,0.38,142653,72,4,1,Single,Undergraduate,1
Karan Menon,45,200000,741,Business,0.29,69926,60,4,0,Single,Postgraduate,0
Pooja Sharma,51,1057202,721,Government,0.54,233249,12,0,0,Single,Graduate,1
Meena Chatterjee,38,585359,613,Self-employed,0.33,84514,12,2,3,Married,Graduate,1
Manoj Chavan,39,618103,725,Business,0.55,248188,12,4,0,Single,Graduate,1
Arjun Mane,23,358768,719,Business,0.4,100003,24,1,1,Single,Undergraduate,0
Preeti Bhosale,44,474176,798,Business,0.4,66385,48,4,0,Single,Undergraduate,0
Harsh Saxena,21,201507,636,Self-employed,0.52,73111,36,5,3,Single,Undergraduate,1
Anjali Gupta,41,521248,661,Salaried,0.16,180636,60,5,1,Single,Graduate,0
Swati Nair,22,769826,706,Government,0.36,262754,60,0,1,Married,Undergraduate,0
Vivek Patil,39,299461,610,Government,0.59,58282,48,2,2,Single,Postgraduate,1
Rajesh Mehta,30,475799,655,Business,0.52,110116,60,1,1,Single,Undergraduate,1
Amit Menon,21,500584,850,Government,0.13,67630,12,5,0,Single,Postgraduate,0
Nisha Menon,39,558888,712,Salaried,0.47,67351,72,2,1,Single,Undergraduate,1
Varun Singh,26,200000,760,Business,0.45,64615,12,2,0,Married,Undergraduate,0
Manoj Nair,26,354258,754,Government,0.44,54668,48,2,0,Single,Undergraduate,0
Ajay Iyer,36,302228,650,Salaried,0.57,78550,12,0,3,Single,Graduate,1
Priya Malhotra,32,735229,665,Self-employed,0.22,144407,48,6,0,Married,Postgraduate,0
Mahesh Chatterjee,51,603761,680,Government,0.39,159029,72,4,0,Single,Undergraduate,0
Nisha Kulkarni,40,256604,654,Salaried,0.38,98199,48,7,0,Married,Undergraduate,0
Aditya Menon,45,848114,612,Business,0.44,102909,36,5,2,Single,Postgraduate,1
Sneha Mane,23,697469,631,Business,0.56,291910,36,6,3,Married,Graduate,1
Harsh Thakur,26,837775,661,Salaried,0.53,217807,36,7,1,Married,Graduate,1
Radhika Mishra,38,558957,670,Business,0.49,103494,60,6,0,Single,Graduate,1
Arjun Singh,41,627240,753,Unemployed,0.52,166428,60,5,0,Single,Postgraduate,1
Asha Patel,35,504876,638,Self-employed,0.58,177323,36,1,2,Married,Graduate,1
Ankita Thakur,37,649851,801,Salaried,0.13,262523,24,3,0,Married,Undergraduate,0
Ankit Iyer,41,599286,670,Salaried,0.14,77252,12,1,0,Married,Graduate,0
Vivek Chatterjee,52,447353,850,Self-employed,0.59,80188,48,1,0,Married,Postgraduate,1
Divya Thakur,31,404458,660,Salaried,0.16,150703,36,3,1,Married,Undergraduate,0
Neha Jadhav,40,320216,677,Salaried,0.6,89355,24,7,1,Single,Postgraduate,1
Priya Mehta,21,245143,659,Salaried,0.32,32173,60,0,0,Single,Postgraduate,0
Divya Verma,41,465708,667,Government,0.37,58009,48,0,1,Married,Graduate,0
Kavita Patil,35,465196,631,Salaried,0.22,173027,24,1,3,Married,Postgraduate,1
Meena More,53,546651,632,Self-employed,0.52,161361,12,1,2,Single,Graduate,1
Kavita Nair,42,410973,716,Government,0.26,161824,12,2,1,Married,Postgraduate,0
Ankit Sawant,31,472142,636,Salaried,0.52,122629,48,1,2,Single,Undergraduate,1
Sneha Deshmukh,32,388803,610,Self-employed,0.21,82873,24,0,2,Married,Graduate,1
Ajay Kapoor,54,510767,758,Business,0.52,147210,48,6,0,Married,Postgraduate,1
Komal Choudhary,33,200000,817,Government,0.49,85906,48,3,0,Married,Postgraduate,1
Karan Verma,54,226087,647,Salaried,0.19,35714,48,1,2,Married,Graduate,1
Rohit Iyer,58,419255,724,Business,0.12,193809,12,7,0,Single,Graduate,0
Pooja Nair,23,498735,802,Government,0.58,60800,12,2,0,Married,Graduate,1
Rajesh Menon,42,448358,698,Self-employed,0.46,215910,12,5,1,Single,Graduate,1
Vikram Dubey,44,572829,843,Business,0.34,230646,72,4,0,Single,Postgraduate,0
Swati Sharma,22,1520387,724,Business,0.2,651443,24,3,0,Married,Graduate,0
Riya Malhotra,37,957426,800,Salaried,0.32,463508,24,7,0,Married,Undergraduate,0
Divya Chatterjee,32,215486,583,Self-employed,0.46,81012,36,3,3,Single,Graduate,1
Tanvi Iyer,37,1132346,816,Self-employed,0.41,237241,48,1,0,Single,Undergraduate,0
Anjali Verma,40,773447,597,Salaried,0.57,370672,12,4,1,Single,Graduate,1
Mahesh Thakur,21,1035934,712,Government,0.19,444169,48,5,0,Married,Undergraduate,0
Isha Bhosale,21,438499,639,Government,0.57,110829,12,0,3,Single,Undergraduate,1
Sanjay Chavan,32,385432,594,Government,0.42,158456,12,0,3,Single,Graduate,1
Ajay Chatterjee,24,1119772,816,Salaried,0.37,399003,48,2,0,Single,Undergraduate,0
Sanjay Thakur,21,701446,743,Self-employed,0.37,235732,36,1,0,Single,Postgraduate,0
Tanvi Joshi,29,292495,584,Salaried,0.6,123399,48,4,1,Single,Undergraduate,1
Shruti Kapoor,30,574189,686,Salaried,0.47,133413,72,2,1,Single,Undergraduate,1
Komal Singh,57,825030,683,Business,0.46,165202,24,7,0,Married,Undergraduate,1
Komal Nair,48,343856,850,Government,0.26,90109,12,1,0,Married,Undergraduate,0
Rohit Mishra,35,1616434,612,Salaried,0.23,291419,24,3,1,Single,Graduate,1
Sanjay Patil,30,228865,746,Self-employed,0.29,45784,72,4,0,Single,Graduate,0
Asha Singh,65,650957,688,Salaried,0.44,88144,24,3,0,Married,Undergraduate,0
Shruti Pandey,41,419917,754,Government,0.13,75692,72,5,0,Single,Undergraduate,0
Ankita Bhosale,28,200000,469,Self-employed,0.53,83645,36,4,1,Married,Graduate,1
Neha Pandey,40,200000,716,Government,0.13,79851,48,6,1,Single,Graduate,0
Vikram Choudhary,33,614782,772,Salaried,0.19,194550,24,2,0,Single,Undergraduate,0
Vivek More,39,246996,535,Self-employed,0.45,38626,72,2,2,Single,Graduate,1
Isha Pawar,40,309455,673,Salaried,0.42,39638,24,6,1,Married,Postgraduate,0
Neha Chatterjee,29,438619,525,Salaried,0.35,181628,48,3,3,Single,Graduate,1
Arjun Sharma,33,301961,757,Salaried,0.5,63766,12,2,0,Single,Postgraduate,1
Deepak Gupta,36,200000,660,Business,0.42,62684,12,4,0,Married,Postgraduate,0
Ankita Dubey,35,582661,709,Salaried,0.27,268293,12,0,0,Single,Postgraduate,0
Priya Joshi,40,798455,660,Salaried,0.24,294049,36,1,0,Married,Undergraduate,0
Radhika Gupta,39,611996,807,Self-employed,0.24,299450,72,6,0,Single,Undergraduate,0
Rohit Shinde,25,769558,561,Government,0.34,280223,72,6,3,Single,Undergraduate,1
Nitin Choudhary,38,439603,607,Salaried,0.19,98825,60,4,2,Married,Undergraduate,1
Asha Dubey,24,200000,661,Business,0.57,28220,12,6,0,Married,Graduate,1
Rajesh Menon,37,304889,735,Salaried,0.13,146652,12,2,0,Single,Undergraduate,0
Isha Reddy,29,740899,620,Salaried,0.11,256625,72,4,2,Married,Graduate,1
Divya Sawant,52,615963,674,Salaried,0.49,178437,48,1,0,Single,Graduate,1
Meena Nair,29,481738,692,Business,0.16,95218,36,7,0,Single,Postgraduate,0
Neha Saxena,21,293753,662,Business,0.58,111421,24,3,1,Married,Undergraduate,1
Preeti Thakur,26,866848,663,Salaried,0.55,420091,72,6,1,Married,Graduate,1
Pooja Deshmukh,32,543521,547,Business,0.44,184345,36,0,2,Married,Undergraduate,1
Sneha Patel,23,379106,795,Government,0.1,100766,12,7,0,Single,Postgraduate,0
Nitin Kulkarni,33,251740,524,Salaried,0.18,96843,60,3,3,Single,Graduate,1
Sakshi Verma,35,209419,764,Salaried,0.35,49176,24,7,0,Married,Postgraduate,0
Meena Mehta,41,360671,654,Self-employed,0.34,74311,72,0,0,Married,Graduate,0
Mahesh Dubey,47,325576,612,Unemployed,0.15,161338,48,0,3,Single,Undergraduate,1
Vivek Choudhary,53,567914,617,Salaried,0.57,176449,36,7,2,Married,Graduate,1
Amit Kapoor,41,967608,553,Business,0.28,367383,60,0,2,Married,Undergraduate,1
Nitin Dubey,29,258084,745,Salaried,0.41,88479,36,6,0,Married,Graduate,0
Ankita Saxena,35,583850,750,Salaried,0.59,166585,72,5,0,Single,Graduate,1
Arjun Kapoor,26,371743,678,Business,0.31,132961,60,5,0,Married,Graduate,0
Manoj Sharma,37,573512,702,Self-employed,0.35,145195,60,1,1,Single,Graduate,0
Kavita Menon,45,520038,635,Salaried,0.42,257289,36,2,2,Married,Graduate,1
Shruti Kulkarni,33,315006,723,Salaried,0.47,41766,60,6,0,Married,Graduate,1
Varun Iyer,31,507234,637,Government,0.38,132970,36,4,3,Married,Undergraduate,1
Isha Gupta,42,666569,644,Government,0.48,206222,48,5,1,Single,Postgraduate,1
Shruti Pandey,34,486819,807,Salaried,0.57,117140,60,0,0,Single,Graduate,1
Isha Saxena,59,372329,785,Self-employed,0.52,103015,12,7,0,Married,Postgraduate,1
Ajay Mishra,37,1313612,761,Salaried,0.52,572173,72,2,0,Single,Postgraduate,1
Vikram Mishra,21,1068681,691,Business,0.26,395273,48,2,1,Single,Graduate,0
Divya Tripathi,21,1039320,617,Self-employed,0.25,323290,60,5,1,Single,Undergraduate,1
